time,vessel_idx,loc_idx,coordinates,effort,catch_biomass
1,2,806,"(5.5, 8.500000000000002)",1,0
1,2,2499,"(98.5, 24.5)",1,2.782692808305503e-4
1,2,5104,"(3.5, 51.5)",1,0.004067121154396403
1,2,6479,"(78.5, 64.50000000000001)",1,0.0019769039521879716
1,2,8149,"(48.5, 81.50000000000001)",1,0.0020219338685361255
1,2,4349,"(48.5, 43.5)",1,1.07299879068433e-5
1,2,7139,"(38.5, 71.5)",1,3.4345428900094304e-5
1,2,7032,"(31.5, 70.5)",1,4.925549033902622e-4
1,2,1662,"(61.49999999999999, 16.500000000000004)",1,6.499285440924081e-6
1,2,5801,"(0.5, 58.5)",1,5.83279272690561e-4
1,2,733,"(32.50000000000001, 7.5)",1,8.461294233055644e-6
1,2,1987,"(86.5, 19.5)",1,0.0022672265418518596
1,2,4072,"(71.5, 40.5)",1,5.788201950294504e-6
1,2,3589,"(88.5, 35.5)",1,5.0906879435136744e-5
1,2,3392,"(91.5, 33.5)",1,0
1,2,4803,"(2.5000000000000004, 48.5)",1,0
1,2,4167,"(66.5, 41.5)",1,0.001463981343515991
1,2,5372,"(71.5, 53.5)",1,0.004008017308305483
1,2,7339,"(38.5, 73.5)",1,0
1,2,5280,"(79.5, 52.50000000000001)",1,0
1,2,4061,"(60.5, 40.5)",1,4.007520226107064e-5
1,2,6499,"(98.5, 64.50000000000001)",1,0.0011541035919088397
1,2,8276,"(75.5, 82.5)",1,3.0006672242759994e-5
1,2,8368,"(67.50000000000001, 83.5)",1,1.1315197201681644e-4
1,2,7960,"(59.49999999999999, 79.5)",1,8.261618722737752e-7
1,2,4120,"(19.5, 41.5)",1,5.179043483634837e-5
1,2,8830,"(29.5, 88.5)",1,2.0196875149822376e-5
1,2,2299,"(98.5, 22.5)",1,2.5766047369685037e-10
1,2,2820,"(19.5, 28.5)",1,0.0019266381390554172
1,2,8181,"(80.5, 81.50000000000001)",1,2.2212181910814693e-5
1,2,6758,"(57.5, 67.50000000000001)",1,0
1,2,5302,"(1.5000000000000002, 53.5)",1,1.2956687273277845e-6
1,2,5160,"(59.49999999999999, 51.5)",1,2.6642535205730103e-5
1,2,9450,"(49.5, 94.5)",1,8.776935663050032e-13
1,2,2296,"(95.5, 22.5)",1,3.936195925755111e-8
1,2,2705,"(4.500000000000001, 27.499999999999996)",1,3.659369817017811e-4
1,2,7557,"(56.5, 75.5)",1,0.0026677216567833873
1,2,5467,"(66.5, 54.49999999999999)",1,2.0110959179696446e-5
1,2,1070,"(69.50000000000001, 10.5)",1,8.071425332285231e-4
1,2,8688,"(87.5, 86.5)",1,0.0046249130479356845
1,2,4002,"(1.5000000000000002, 40.5)",1,3.5727600246210706e-5
1,2,8610,"(9.5, 86.5)",1,0.0016246207821971638
1,2,1077,"(76.5, 10.5)",1,0.0073183695270856546
1,2,7250,"(49.5, 72.5)",1,1.2392900674362987e-5
1,2,1121,"(20.5, 11.5)",1,0.002123938818773718
1,2,1349,"(48.5, 13.500000000000002)",1,1.2320077644635528e-6
1,2,2520,"(19.5, 25.5)",1,0.007486969117497121
1,2,1285,"(84.5, 12.5)",1,0
1,2,2898,"(97.5, 28.5)",1,2.4222352877267898e-4
1,2,7967,"(66.5, 79.5)",1,0
1,2,2934,"(33.5, 29.5)",1,1.0478045668972542e-7
1,2,4665,"(64.50000000000001, 46.5)",1,0
1,2,370,"(69.50000000000001, 3.5)",1,1.6874840039834265e-6
1,2,6259,"(58.5, 62.5)",1,0.004333248642858538
1,2,2735,"(34.5, 27.499999999999996)",1,7.945512990916146e-5
1,2,4414,"(13.500000000000002, 44.5)",1,0.005743849886720076
1,2,2590,"(89.5, 25.5)",1,0.002392202164429256
1,2,5086,"(85.5, 50.5)",1,0.0017372248062279719
1,2,112,"(11.5, 1.5000000000000002)",1,1.0179537149754228e-5
1,2,8698,"(97.5, 86.5)",1,0.0023755143674047277
1,2,6345,"(44.5, 63.5)",1,2.578640605493691e-4
1,2,1022,"(21.5, 10.5)",1,0.0028284410193702603
1,2,5859,"(58.5, 58.5)",1,4.872439309434057e-5
1,2,4885,"(84.5, 48.5)",1,2.781737393892081e-13
1,2,1849,"(48.5, 18.5)",1,0.002067096368793007
1,2,8955,"(54.49999999999999, 89.5)",1,0.0010260991748553485
1,2,3752,"(51.5, 37.50000000000001)",1,2.609096524989961e-4
1,2,6440,"(39.5, 64.50000000000001)",1,0.004006443392978069
1,2,9104,"(3.5, 91.5)",1,3.0512116179316366e-4
1,2,5835,"(34.5, 58.5)",1,1.7610943238862765e-4
1,2,3316,"(15.5, 33.5)",1,0.01266470626677342
1,2,6785,"(84.5, 67.50000000000001)",1,8.919638141418873e-4
1,2,6840,"(39.5, 68.5)",1,7.28033536275252e-5
1,2,1677,"(76.5, 16.500000000000004)",1,2.2366405606252514e-4
1,2,3167,"(66.5, 31.5)",1,5.7899334686035555e-5
1,2,4595,"(94.5, 45.5)",1,3.728964954925854e-4
1,2,6227,"(26.500000000000004, 62.5)",1,0.004041726322467558
1,2,7408,"(7.5, 74.50000000000001)",1,3.7238659170430314e-6
1,2,5422,"(21.5, 54.49999999999999)",1,0
1,2,816,"(15.5, 8.500000000000002)",1,0
1,2,6516,"(15.5, 65.5)",1,0
1,2,6887,"(86.5, 68.5)",1,2.777307241758932e-6
1,2,3833,"(32.50000000000001, 38.5)",1,1.2359803428206722e-6
1,2,6478,"(77.5, 64.50000000000001)",1,0.002983260580714788
1,2,5147,"(46.5, 51.5)",1,0.004079446579207093
1,2,2602,"(1.5000000000000002, 26.500000000000004)",1,0
1,2,9010,"(9.5, 90.5)",1,8.604014955453783e-4
1,2,8613,"(12.5, 86.5)",1,1.666594049287462e-14
1,2,4588,"(87.5, 45.5)",1,2.759275496820187e-4
1,2,3259,"(58.5, 32.50000000000001)",1,6.069780597405563e-4
1,2,4257,"(56.5, 42.5)",1,0.002763602739230896
1,2,5981,"(80.5, 59.49999999999999)",1,0.0011167626229691937
1,2,6449,"(48.5, 64.50000000000001)",1,0.003940357240362456
1,2,6295,"(94.5, 62.5)",1,0
1,2,9595,"(94.5, 95.5)",1,2.130943922745003e-4
1,2,2640,"(39.5, 26.500000000000004)",1,0.001714294304613291
1,2,2883,"(82.5, 28.5)",1,0.001202295047455138
1,2,8451,"(50.5, 84.5)",1,0.002712229669215431
1,2,7518,"(17.5, 75.5)",1,1.4786022742690013e-4
1,2,4276,"(75.5, 42.5)",1,0.0023260101369556594
1,2,7925,"(24.5, 79.5)",1,3.2081704065956835e-5
1,2,4832,"(31.5, 48.5)",1,0.0059711789309491205
1,2,9247,"(46.5, 92.5)",1,5.8899765125785964e-5
1,2,9992,"(91.5, 99.5)",1,0.010700128150553722
1,2,7284,"(83.5, 72.5)",1,2.0425880724916074e-5
1,2,4213,"(12.5, 42.5)",1,1.628386620845537e-4
1,2,588,"(87.5, 5.5)",1,4.0392405288174124e-5
1,2,5087,"(86.5, 50.5)",1,0.0015100586397247592
1,2,9547,"(46.5, 95.5)",1,0.00485629291595088
1,2,9691,"(90.5, 96.5)",1,0.00868482687119918
1,2,5231,"(30.5, 52.50000000000001)",1,3.49061835216571e-4
1,2,9846,"(45.5, 98.5)",1,0
1,2,8918,"(17.5, 89.5)",1,0.0014946362349424224
1,2,2245,"(44.5, 22.5)",1,2.827240631867049e-5
1,2,7966,"(65.5, 79.5)",1,8.889214299534769e-5
1,2,1650,"(49.5, 16.500000000000004)",1,0.008466698825015778
1,2,1414,"(13.500000000000002, 14.5)",1,0.0017401211311363135
1,2,776,"(75.5, 7.5)",1,0.0019588790269544614
1,2,8616,"(15.5, 86.5)",1,0
1,2,1786,"(85.5, 17.5)",1,0.004066224775641132
1,2,7116,"(15.5, 71.5)",1,0.0021275046254944684
1,2,9242,"(41.5, 92.5)",1,0
1,2,4485,"(84.5, 44.5)",1,0.001294895393672702
1,2,1056,"(55.5, 10.5)",1,5.483196988128794e-4
1,2,5583,"(82.5, 55.5)",1,0.008330602158543256
1,2,3209,"(8.500000000000002, 32.50000000000001)",1,3.93619357336433e-5
1,2,3204,"(3.5, 32.50000000000001)",1,0.009270276779900147
1,2,1747,"(46.5, 17.5)",1,0
1,2,589,"(88.5, 5.5)",1,0.0013939188261654473
1,2,8749,"(48.5, 87.5)",1,8.991408223655225e-4
1,2,6446,"(45.5, 64.50000000000001)",1,0.0015499322313662612
1,2,2720,"(19.5, 27.499999999999996)",1,0.0047249632150342495
1,2,7648,"(47.5, 76.5)",1,4.7382810688748704e-5
1,2,5456,"(55.5, 54.49999999999999)",1,0.003049459689617308
1,2,417,"(16.500000000000004, 4.500000000000001)",1,2.4392720681046674e-4
1,2,9049,"(48.5, 90.5)",1,5.662952489409476e-4
1,2,1555,"(54.49999999999999, 15.5)",1,0.009427863845141797
1,2,5946,"(45.5, 59.49999999999999)",1,1.0964542070415067e-6
1,2,5421,"(20.5, 54.49999999999999)",1,0.0027920382404200343
1,2,9570,"(69.50000000000001, 95.5)",1,2.540628829858246e-4
1,2,6236,"(35.5, 62.5)",1,5.081060624677967e-4
1,2,8151,"(50.5, 81.50000000000001)",1,0
1,2,7191,"(90.5, 71.5)",1,1.875705053012535e-5
1,2,8167,"(66.5, 81.50000000000001)",1,0.004227146490004558
1,2,3405,"(4.500000000000001, 34.5)",1,0.011131022849459327
1,2,4502,"(1.5000000000000002, 45.5)",1,0
1,2,3460,"(59.49999999999999, 34.5)",1,2.1891154590225089e-4
1,2,4666,"(65.5, 46.5)",1,2.950838356810169e-5
1,2,2827,"(26.500000000000004, 28.5)",1,0.0026783973562213366
1,2,9608,"(7.5, 96.5)",1,0
1,2,6998,"(97.5, 69.50000000000001)",1,3.6520881231293826e-8
1,2,7282,"(81.50000000000001, 72.5)",1,0.005592120083226492
1,2,9371,"(70.5, 93.5)",1,0.007615516718721717
1,2,4606,"(5.5, 46.5)",1,0.0011421552505002765
1,2,7853,"(52.50000000000001, 78.5)",1,2.6021654309591883e-9
1,2,1681,"(80.5, 16.500000000000004)",1,5.293366005433134e-9
1,2,3341,"(40.5, 33.5)",1,0
1,2,2052,"(51.5, 20.5)",1,8.475897262740909e-6
1,2,9274,"(73.5, 92.5)",1,5.474864506229225e-5
1,2,4331,"(30.5, 43.5)",1,6.714407845039366e-8
1,2,2496,"(95.5, 24.5)",1,0.0010666695084487496
1,2,1873,"(72.5, 18.5)",1,1.610570672248305e-8
1,2,69,"(68.5, 0.5)",1,3.488004516743061e-4
1,2,4626,"(25.5, 46.5)",1,7.12404724628446e-5
1,2,9678,"(77.5, 96.5)",1,0
1,2,9938,"(37.50000000000001, 99.5)",1,1.217710458957585e-4
1,2,1245,"(44.5, 12.5)",1,0.007433942162571454
1,2,4288,"(87.5, 42.5)",1,0.0016964216760643662
1,2,5165,"(64.50000000000001, 51.5)",1,0.011462623838623136
1,2,4167,"(66.5, 41.5)",1,1.2321783647164108e-5
1,2,5761,"(60.5, 57.5)",1,0
1,2,9751,"(50.5, 97.5)",1,4.1003105152108746e-4
1,2,5760,"(59.49999999999999, 57.5)",1,2.4323180174408237e-5
1,2,4819,"(18.5, 48.5)",1,1.4811235660595458e-5
1,2,3325,"(24.5, 33.5)",1,8.935941997288941e-4
1,2,4544,"(43.5, 45.5)",1,0
1,2,2407,"(6.5, 24.5)",1,0.0011049372123007083
1,2,9110,"(9.5, 91.5)",1,0.0010659540684249094
1,2,7743,"(42.5, 77.5)",1,4.516699645513037e-5
1,2,4200,"(99.5, 41.5)",1,3.1841802617276263e-4
1,2,9667,"(66.5, 96.5)",1,0
1,2,2393,"(92.5, 23.5)",1,4.29052102669837e-4
1,2,5968,"(67.50000000000001, 59.49999999999999)",1,2.7137255936391465e-4
1,2,687,"(86.5, 6.5)",1,1.0765434668806101e-4
1,2,653,"(52.50000000000001, 6.5)",1,7.936966902085375e-6
1,2,9472,"(71.5, 94.5)",1,3.595362725379232e-4
1,2,6920,"(19.5, 69.50000000000001)",1,1.8264042490971924e-7
1,2,2688,"(87.5, 26.500000000000004)",1,0
1,2,432,"(31.5, 4.500000000000001)",1,1.232465041765921e-4
1,2,3256,"(55.5, 32.50000000000001)",1,1.8573243749596456e-8
1,2,8711,"(10.5, 87.5)",1,4.642562338574173e-5
1,2,9903,"(2.5000000000000004, 99.5)",1,0.002667455308049665
1,2,6387,"(86.5, 63.5)",1,7.050004772828634e-9
1,2,758,"(57.5, 7.5)",1,0
1,2,2462,"(61.49999999999999, 24.5)",1,0.00343284209419007
1,2,7570,"(69.50000000000001, 75.5)",1,2.785293373012819e-4
1,2,3308,"(7.5, 33.5)",1,0.0013296625903797851
1,2,6495,"(94.5, 64.50000000000001)",1,1.2173720260343157e-8
1,2,1102,"(1.5000000000000002, 11.5)",1,0
1,2,1517,"(16.500000000000004, 15.5)",1,0.0021622001817329212
1,2,9747,"(46.5, 97.5)",1,0.009889671711202754
1,2,4847,"(46.5, 48.5)",1,0.00251304107643209
1,2,3730,"(29.5, 37.50000000000001)",1,0.006846427146587656
1,2,6725,"(24.5, 67.50000000000001)",1,0
1,2,327,"(26.500000000000004, 3.5)",1,0.0010687494116382505
1,2,8274,"(73.5, 82.5)",1,0.004686371709374774
1,2,1827,"(26.500000000000004, 18.5)",1,0
1,2,645,"(44.5, 6.5)",1,9.48284185297286e-8
1,2,6367,"(66.5, 63.5)",1,1.501574104270267e-4
1,2,1676,"(75.5, 16.500000000000004)",1,0.007334329326893313
1,2,1375,"(74.50000000000001, 13.500000000000002)",1,8.223995049478204e-5
1,2,4521,"(20.5, 45.5)",1,0
1,2,8805,"(4.500000000000001, 88.5)",1,0.008829048174290697
1,2,2558,"(57.5, 25.5)",1,0
1,2,6312,"(11.5, 63.5)",1,6.16464430523983e-6
1,2,5918,"(17.5, 59.49999999999999)",1,6.290478931224682e-5
1,2,7754,"(53.5, 77.5)",1,3.923700202660562e-4
1,2,9106,"(5.5, 91.5)",1,7.662125559855083e-7
1,2,730,"(29.5, 7.5)",1,3.592726371704329e-7
1,2,6205,"(4.500000000000001, 62.5)",1,8.59176260823688e-5
1,2,3117,"(16.500000000000004, 31.5)",1,4.090845758207684e-4
1,2,6111,"(10.5, 61.49999999999999)",1,9.90767492779149e-4
1,2,974,"(73.5, 9.5)",1,0
1,2,3543,"(42.5, 35.5)",1,0.0022583647794309973
1,2,9038,"(37.50000000000001, 90.5)",1,0.001261631656514418
1,2,9452,"(51.5, 94.5)",1,6.785436180939308e-4
1,2,6791,"(90.5, 67.50000000000001)",1,0
1,2,1002,"(1.5000000000000002, 10.5)",1,0
1,2,2829,"(28.5, 28.5)",1,1.0582732204353282e-5
1,2,5735,"(34.5, 57.5)",1,0
1,2,1527,"(26.500000000000004, 15.5)",1,1.0000205544525918e-4
1,2,4558,"(57.5, 45.5)",1,5.518348222673154e-4
1,2,3945,"(44.5, 39.5)",1,0.001128562013396406
1,2,2352,"(51.5, 23.5)",1,0.002463361170806998
1,2,33,"(32.50000000000001, 0.5)",1,1.0302039329348003e-5
1,2,7600,"(99.5, 75.5)",1,5.200682256371315e-4
1,2,4156,"(55.5, 41.5)",1,2.764619110271736e-4
1,2,6631,"(30.5, 66.5)",1,0
1,2,1558,"(57.5, 15.5)",1,6.809508902224955e-5
1,2,3961,"(60.5, 39.5)",1,0
1,2,3708,"(7.5, 37.50000000000001)",1,1.783992906795845e-9
1,2,9097,"(96.5, 90.5)",1,1.4569129355138926e-4
1,2,4834,"(33.5, 48.5)",1,6.630975066284528e-4
1,2,2691,"(90.5, 26.500000000000004)",1,0.0031155557116118613
1,2,1838,"(37.50000000000001, 18.5)",1,3.5529638143890326e-4
1,2,8059,"(58.5, 80.5)",1,0.0012676449062225446
1,2,314,"(13.500000000000002, 3.5)",1,0.0025832764366738306
1,2,1484,"(83.5, 14.5)",1,1.819918360958002e-4
1,2,6671,"(70.5, 66.5)",1,3.0586206189878e-5
1,2,761,"(60.5, 7.5)",1,1.2152732579364263e-5
1,2,6079,"(78.5, 60.5)",1,0.012445855084442523
1,2,4746,"(45.5, 47.5)",1,6.7954452281142626e-6
1,2,4175,"(74.50000000000001, 41.5)",1,5.20240719031708e-4
1,2,9410,"(9.5, 94.5)",1,7.914903239587369e-5
1,2,5443,"(42.5, 54.49999999999999)",1,4.026314469341846e-6
1,2,7239,"(38.5, 72.5)",1,7.122697076450292e-4
1,2,7657,"(56.5, 76.5)",1,0.001635051852740762
1,2,5805,"(4.500000000000001, 58.5)",1,0
1,2,3009,"(8.500000000000002, 30.5)",1,0.0051579728289936535
1,2,8553,"(52.50000000000001, 85.5)",1,6.237409670347803e-5
1,2,6201,"(0.5, 62.5)",1,6.409369574781433e-6
1,2,2257,"(56.5, 22.5)",1,9.592484820106288e-4
1,2,9387,"(86.5, 93.5)",1,2.4725581278691575e-6
1,2,112,"(11.5, 1.5000000000000002)",1,7.258987313707806e-6
1,2,3859,"(58.5, 38.5)",1,0.0024667748567153056
1,2,1328,"(27.499999999999996, 13.500000000000002)",1,1.0231048583268792e-7
1,2,1903,"(2.5000000000000004, 19.5)",1,3.5416457742900856e-5
1,2,1761,"(60.5, 17.5)",1,2.18958429208513e-5
1,2,121,"(20.5, 1.5000000000000002)",1,0.004542863578715959
1,2,2818,"(17.5, 28.5)",1,4.4679821084427627e-4
1,2,6446,"(45.5, 64.50000000000001)",1,0.003957091405414282
1,2,5425,"(24.5, 54.49999999999999)",1,2.40566818865588e-5
1,2,7390,"(89.5, 73.5)",1,2.287138180765079e-8
1,2,1948,"(47.5, 19.5)",1,0
1,2,145,"(44.5, 1.5000000000000002)",1,3.826284392716178e-5
1,2,6823,"(22.5, 68.5)",1,0.004032355904054652
1,2,9587,"(86.5, 95.5)",1,3.342573106580033e-4
1,2,231,"(30.5, 2.5000000000000004)",1,0.005284319392183834
1,2,2488,"(87.5, 24.5)",1,6.996242993373668e-13
1,2,3059,"(58.5, 30.5)",1,0.004819689593893453
1,2,3095,"(94.5, 30.5)",1,6.624860755303603e-5
1,2,2966,"(65.5, 29.5)",1,8.81149463675171e-4
1,2,6694,"(93.5, 66.5)",1,0.0010889086880641746
1,2,3462,"(61.49999999999999, 34.5)",1,4.782042090690724e-4
1,2,7744,"(43.5, 77.5)",1,7.028891544136499e-4
1,2,6911,"(10.5, 69.50000000000001)",1,0.0020776953135249335
1,2,2284,"(83.5, 22.5)",1,6.880242466702497e-5
1,2,8241,"(40.5, 82.5)",1,9.364942632369179e-5
1,2,7051,"(50.5, 70.5)",1,6.538036112841896e-5
1,2,3979,"(78.5, 39.5)",1,0.002230563687140976
1,2,2279,"(78.5, 22.5)",1,0.0020306332510555
1,2,972,"(71.5, 9.5)",1,2.139483016267146e-4
1,2,1621,"(20.5, 16.500000000000004)",1,9.202468428004081e-4
1,2,2291,"(90.5, 22.5)",1,2.823961900432932e-7
1,2,8705,"(4.500000000000001, 87.5)",1,4.7273212743054e-5
1,2,1583,"(82.5, 15.5)",1,1.7100147318807727e-7
1,2,7663,"(62.5, 76.5)",1,2.0664870454803306e-5
1,2,3547,"(46.5, 35.5)",1,0.0033310646669292778
1,2,7946,"(45.5, 79.5)",1,0.0024573771181077486
1,2,7627,"(26.500000000000004, 76.5)",1,2.127945797628101e-4
1,2,9103,"(2.5000000000000004, 91.5)",1,0
1,2,4065,"(64.50000000000001, 40.5)",1,9.902589162364061e-4
1,2,9172,"(71.5, 91.5)",1,2.746920106702463e-5
1,2,4907,"(6.5, 49.5)",1,4.073210721015954e-5
1,2,9961,"(60.5, 99.5)",1,7.47548720551061e-4
1,2,109,"(8.500000000000002, 1.5000000000000002)",1,1.809844329553907e-5
1,2,7598,"(97.5, 75.5)",1,1.2396471572209435e-6
1,2,4997,"(96.5, 49.5)",1,7.035473398921531e-7
1,2,1765,"(64.50000000000001, 17.5)",1,2.410837635276945e-7
1,2,8543,"(42.5, 85.5)",1,0
1,2,4984,"(83.5, 49.5)",1,0.002179721208701442
1,2,486,"(85.5, 4.500000000000001)",1,1.7622789593005427e-7
1,2,6007,"(6.5, 60.5)",1,0.0075459310496618385
1,2,9225,"(24.5, 92.5)",1,1.7166346308166274e-5
1,2,3166,"(65.5, 31.5)",1,0
1,2,8055,"(54.49999999999999, 80.5)",1,2.652150590498428e-5
1,2,7254,"(53.5, 72.5)",1,2.3140137248611783e-4
1,2,856,"(55.5, 8.500000000000002)",1,2.463447785328879e-7
1,2,1331,"(30.5, 13.500000000000002)",1,0.0015286315260482138
1,2,7323,"(22.5, 73.5)",1,0
1,2,5977,"(76.5, 59.49999999999999)",1,0.0030430858635159008
1,2,1694,"(93.5, 16.500000000000004)",1,6.943265034666178e-4
1,2,1554,"(53.5, 15.5)",1,0
1,2,4007,"(6.5, 40.5)",1,9.461388903962706e-5
1,2,953,"(52.50000000000001, 9.5)",1,1.1944729983369949e-4
1,2,8015,"(14.5, 80.5)",1,0
1,2,2023,"(22.5, 20.5)",1,4.918308807551211e-4
1,2,751,"(50.5, 7.5)",1,5.921886503299765e-4
1,2,4094,"(93.5, 40.5)",1,1.3372085985455803e-5
1,2,234,"(33.5, 2.5000000000000004)",1,0.0028786334722968616
1,2,4628,"(27.499999999999996, 46.5)",1,8.616795595125628e-4
1,2,4422,"(21.5, 44.5)",1,0.0013194563755155482
1,2,1204,"(3.5, 12.5)",1,0
1,2,3929,"(28.5, 39.5)",1,0.0027351318544011093
1,2,1226,"(25.5, 12.5)",1,0.0031441555887937213
1,2,592,"(91.5, 5.5)",1,0.0019366834944983743
1,2,5486,"(85.5, 54.49999999999999)",1,1.8850431915147877e-4
1,2,7799,"(98.5, 77.5)",1,0.00887079989745978
1,2,6340,"(39.5, 63.5)",1,0.003989921713216901
1,2,3849,"(48.5, 38.5)",1,1.69644153516357e-5
1,2,3213,"(12.5, 32.50000000000001)",1,0.0019532192696324275
1,2,2424,"(23.5, 24.5)",1,0
1,2,7462,"(61.49999999999999, 74.50000000000001)",1,2.4835031490838614e-4
1,2,558,"(57.5, 5.5)",1,0.0020899392755933284
1,2,8006,"(5.5, 80.5)",1,0.0023196419318709284
1,2,409,"(8.500000000000002, 4.500000000000001)",1,6.336582867661245e-5
1,2,8544,"(43.5, 85.5)",1,4.405265194890722e-7
1,2,5140,"(39.5, 51.5)",1,0
1,2,9520,"(19.5, 95.5)",1,0
1,2,2563,"(62.5, 25.5)",1,0.0028159321471024146
1,2,5035,"(34.5, 50.5)",1,5.840907552538052e-4
1,2,7032,"(31.5, 70.5)",1,0.0015828940884028207
1,2,3874,"(73.5, 38.5)",1,3.623644287310844e-6
1,2,6904,"(3.5, 69.50000000000001)",1,0.012990863963132414
1,2,9338,"(37.50000000000001, 93.5)",1,0.006980618234221513
1,2,6240,"(39.5, 62.5)",1,7.429819474683838e-5
1,2,7071,"(70.5, 70.5)",1,0.001206811330726963
1,2,5187,"(86.5, 51.5)",1,0.005150361058178217
1,2,5942,"(41.5, 59.49999999999999)",1,4.515924520955665e-5
1,2,3821,"(20.5, 38.5)",1,0.007940957257427937
1,2,2492,"(91.5, 24.5)",1,4.621209078483842e-4
1,2,4113,"(12.5, 41.5)",1,0
1,2,2336,"(35.5, 23.5)",1,5.243105692292251e-4
1,2,6012,"(11.5, 60.5)",1,0.0017001223721840113
1,2,1153,"(52.50000000000001, 11.5)",1,0.0081928255124874
1,2,7093,"(92.5, 70.5)",1,7.415190442415864e-5
1,2,5710,"(9.5, 57.5)",1,0.005601121515752379
1,2,4141,"(40.5, 41.5)",1,0.002619681339712492
1,2,6882,"(81.50000000000001, 68.5)",1,0.0011461087456878527
1,2,2765,"(64.50000000000001, 27.499999999999996)",1,1.1399753273226484e-4
1,2,2108,"(7.5, 21.5)",1,7.907444673279707e-4
1,2,8714,"(13.500000000000002, 87.5)",1,7.222354072792913e-4
1,2,8696,"(95.5, 86.5)",1,0.0055727036583575395
1,2,3212,"(11.5, 32.50000000000001)",1,5.025046616490307e-4
1,2,5730,"(29.5, 57.5)",1,2.0428924451128152e-4
1,2,8063,"(62.5, 80.5)",1,0.0017492307499770783
1,2,2958,"(57.5, 29.5)",1,0.0012864847846142922
1,2,9092,"(91.5, 90.5)",1,0
1,2,5272,"(71.5, 52.50000000000001)",1,0.0013376206683841407
1,2,6231,"(30.5, 62.5)",1,0.00509851603947959
1,2,4411,"(10.5, 44.5)",1,0.0022779961891976675
1,2,3257,"(56.5, 32.50000000000001)",1,0.001087147124932928
1,2,4550,"(49.5, 45.5)",1,0.0017951798516268127
1,2,1919,"(18.5, 19.5)",1,0
1,2,7462,"(61.49999999999999, 74.50000000000001)",1,7.928858398611874e-5
1,2,8264,"(63.5, 82.5)",1,0.0018370801234424497
1,2,4143,"(42.5, 41.5)",1,1.3768683001577939e-5
1,2,2930,"(29.5, 29.5)",1,8.182903389914352e-4
1,2,5419,"(18.5, 54.49999999999999)",1,0.0017138458443994467
1,2,2547,"(46.5, 25.5)",1,2.9926544362720865e-4
1,2,4930,"(29.5, 49.5)",1,3.3240225547235335e-5
1,2,7204,"(3.5, 72.5)",1,1.102664819362187e-5
1,2,79,"(78.5, 0.5)",1,0.0017127629014609738
1,2,7428,"(27.499999999999996, 74.50000000000001)",1,0.0014830242953980226
1,2,591,"(90.5, 5.5)",1,3.2349721821196267e-4
1,2,6191,"(90.5, 61.49999999999999)",1,2.87707812638713e-5
1,2,6222,"(21.5, 62.5)",1,0.0025834662222625313
1,2,5890,"(89.5, 58.5)",1,4.799941296102582e-5
1,2,4319,"(18.5, 43.5)",1,0.0014187111278191936
1,2,7035,"(34.5, 70.5)",1,0.003352207883259351
1,2,4593,"(92.5, 45.5)",1,0
1,2,8433,"(32.50000000000001, 84.5)",1,3.571129777886483e-5
1,2,7789,"(88.5, 77.5)",1,5.086942533086484e-5
1,2,4372,"(71.5, 43.5)",1,0.009851194984164452
1,2,2458,"(57.5, 24.5)",1,3.940389076446365e-4
1,2,7119,"(18.5, 71.5)",1,0.0012806840818341079
1,2,5935,"(34.5, 59.49999999999999)",1,1.5827316691336373e-5
1,2,2535,"(34.5, 25.5)",1,0
1,2,6888,"(87.5, 68.5)",1,0.0017581662530835147
1,2,915,"(14.5, 9.5)",1,0.001286990893256686
1,2,855,"(54.49999999999999, 8.500000000000002)",1,0
1,2,375,"(74.50000000000001, 3.5)",1,0.001109066197087845
1,2,8053,"(52.50000000000001, 80.5)",1,6.30169773438291e-4
