time,vessel_idx,loc_idx,coord1,coord2,effort,catch_biomass
1,1,203,2.5000000000000004,2.5000000000000004,1.0,0.0
1,1,208,7.5,2.5000000000000004,1.0,0.0
1,1,213,12.5,2.5000000000000004,1.0,0.0
1,1,218,17.5,2.5000000000000004,1.0,0.0
1,1,223,22.5,2.5000000000000004,1.0,1.1144047444107491e-8
1,1,228,27.499999999999996,2.5000000000000004,1.0,1.2891701263491486e-7
1,1,233,32.50000000000001,2.5000000000000004,1.0,0.0
1,1,238,37.50000000000001,2.5000000000000004,1.0,0.0
1,1,243,42.5,2.5000000000000004,1.0,0.0
1,1,248,47.5,2.5000000000000004,1.0,2.7665303956696885e-7
1,1,253,52.50000000000001,2.5000000000000004,1.0,0.0
1,1,258,57.5,2.5000000000000004,1.0,0.0
1,1,263,62.5,2.5000000000000004,1.0,1.3025364110369659e-6
1,1,268,67.50000000000001,2.5000000000000004,1.0,0.0
1,1,273,72.5,2.5000000000000004,1.0,9.270163163263101e-5
1,1,278,77.5,2.5000000000000004,1.0,9.09755894207889e-6
1,1,283,82.5,2.5000000000000004,1.0,0.0
1,1,288,87.5,2.5000000000000004,1.0,2.9253636554210997e-5
1,1,293,92.5,2.5000000000000004,1.0,0.0
1,1,298,97.5,2.5000000000000004,1.0,0.0
1,1,703,2.5000000000000004,7.5,1.0,1.0682039057879186e-14
1,1,708,7.5,7.5,1.0,0.0
1,1,713,12.5,7.5,1.0,1.072998172332643e-15
1,1,718,17.5,7.5,1.0,0.0
1,1,723,22.5,7.5,1.0,0.0
1,1,728,27.499999999999996,7.5,1.0,0.0
1,1,733,32.50000000000001,7.5,1.0,0.0
1,1,738,37.50000000000001,7.5,1.0,5.632213777940645e-11
1,1,743,42.5,7.5,1.0,5.4451791776434524e-8
1,1,748,47.5,7.5,1.0,1.4214997374527519e-6
1,1,753,52.50000000000001,7.5,1.0,3.032657672307125e-7
1,1,758,57.5,7.5,1.0,0.0
1,1,763,62.5,7.5,1.0,0.0
1,1,768,67.50000000000001,7.5,1.0,0.00032439095683936905
1,1,773,72.5,7.5,1.0,0.00012714474545645694
1,1,778,77.5,7.5,1.0,6.675109866303708e-7
1,1,783,82.5,7.5,1.0,0.0
1,1,788,87.5,7.5,1.0,0.0
1,1,793,92.5,7.5,1.0,3.686331810971459e-11
1,1,798,97.5,7.5,1.0,0.0
1,1,1203,2.5000000000000004,12.5,1.0,0.0
1,1,1208,7.5,12.5,1.0,0.0
1,1,1213,12.5,12.5,1.0,7.044685204476009e-5
1,1,1218,17.5,12.5,1.0,0.0
1,1,1223,22.5,12.5,1.0,0.0
1,1,1228,27.499999999999996,12.5,1.0,3.9949538225249727e-8
1,1,1233,32.50000000000001,12.5,1.0,3.6239318570794076e-6
1,1,1238,37.50000000000001,12.5,1.0,0.0
1,1,1243,42.5,12.5,1.0,0.0
1,1,1248,47.5,12.5,1.0,0.0
1,1,1253,52.50000000000001,12.5,1.0,2.3310495594640696e-5
1,1,1258,57.5,12.5,1.0,0.00012394423124027643
1,1,1263,62.5,12.5,1.0,0.0006849867837381747
1,1,1268,67.50000000000001,12.5,1.0,0.0
1,1,1273,72.5,12.5,1.0,9.635116186585675e-5
1,1,1278,77.5,12.5,1.0,0.0
1,1,1283,82.5,12.5,1.0,2.5127101927718048e-5
1,1,1288,87.5,12.5,1.0,1.6992407378309953e-9
1,1,1293,92.5,12.5,1.0,1.290712718305149e-5
1,1,1298,97.5,12.5,1.0,0.0
1,1,1703,2.5000000000000004,17.5,1.0,8.089663125260064e-8
1,1,1708,7.5,17.5,1.0,0.0
1,1,1713,12.5,17.5,1.0,0.0
1,1,1718,17.5,17.5,1.0,2.161258027577294e-7
1,1,1723,22.5,17.5,1.0,0.000167979116221313
1,1,1728,27.499999999999996,17.5,1.0,7.599857627117041e-17
1,1,1733,32.50000000000001,17.5,1.0,3.305128513044971e-7
1,1,1738,37.50000000000001,17.5,1.0,0.0
1,1,1743,42.5,17.5,1.0,1.0019095030215368e-6
1,1,1748,47.5,17.5,1.0,4.4964594927314855e-5
1,1,1753,52.50000000000001,17.5,1.0,0.0
1,1,1758,57.5,17.5,1.0,0.0
1,1,1763,62.5,17.5,1.0,0.0010019328902725287
1,1,1768,67.50000000000001,17.5,1.0,0.00010698130195874406
1,1,1773,72.5,17.5,1.0,0.0001627207461547972
1,1,1778,77.5,17.5,1.0,9.701599020157476e-8
1,1,1783,82.5,17.5,1.0,3.885986956749031e-5
1,1,1788,87.5,17.5,1.0,1.4596320431957697e-5
1,1,1793,92.5,17.5,1.0,0.0
1,1,1798,97.5,17.5,1.0,0.0
1,1,2203,2.5000000000000004,22.5,1.0,0.0
1,1,2208,7.5,22.5,1.0,7.793283382857164e-7
1,1,2213,12.5,22.5,1.0,0.0
1,1,2218,17.5,22.5,1.0,3.534818758283236e-6
1,1,2223,22.5,22.5,1.0,0.00041958425867143895
1,1,2228,27.499999999999996,22.5,1.0,9.67745981254097e-5
1,1,2233,32.50000000000001,22.5,1.0,2.8931399485454324e-6
1,1,2238,37.50000000000001,22.5,1.0,0.00015695660526084804
1,1,2243,42.5,22.5,1.0,2.0219845679697738e-7
1,1,2248,47.5,22.5,1.0,8.306446815197663e-5
1,1,2253,52.50000000000001,22.5,1.0,1.2544830643634042e-5
1,1,2258,57.5,22.5,1.0,2.6071365642212596e-9
1,1,2263,62.5,22.5,1.0,7.60510756727252e-8
1,1,2268,67.50000000000001,22.5,1.0,2.0671448306302123e-6
1,1,2273,72.5,22.5,1.0,0.0
1,1,2278,77.5,22.5,1.0,6.195461062889106e-5
1,1,2283,82.5,22.5,1.0,3.059538264454063e-5
1,1,2288,87.5,22.5,1.0,6.662500743662539e-5
1,1,2293,92.5,22.5,1.0,0.0
1,1,2298,97.5,22.5,1.0,1.53090632362112e-7
1,1,2703,2.5000000000000004,27.499999999999996,1.0,0.0
1,1,2708,7.5,27.499999999999996,1.0,1.0158418253477788e-5
1,1,2713,12.5,27.499999999999996,1.0,0.0003450618215434458
1,1,2718,17.5,27.499999999999996,1.0,8.80713265483425e-5
1,1,2723,22.5,27.499999999999996,1.0,0.0007706344254662171
1,1,2728,27.499999999999996,27.499999999999996,1.0,0.0
1,1,2733,32.50000000000001,27.499999999999996,1.0,0.0005488418600230491
1,1,2738,37.50000000000001,27.499999999999996,1.0,0.0
1,1,2743,42.5,27.499999999999996,1.0,1.4371087413522005e-7
1,1,2748,47.5,27.499999999999996,1.0,0.0
1,1,2753,52.50000000000001,27.499999999999996,1.0,0.0
1,1,2758,57.5,27.499999999999996,1.0,0.0
1,1,2763,62.5,27.499999999999996,1.0,0.0
1,1,2768,67.50000000000001,27.499999999999996,1.0,0.00034953859331722075
